fouc,Fuck off you cunt
bmfl,best mates for life
aslo,age sex location orientation
figjam,"fuck I'm good, just ask me"
roi,Return On Investment
roj,affirmative
nwtf,now what the fuck
newbie,new player
wiid,what if i did
prsn,person
nvmt,nevermind that
walstib,what a long strange trip it's been
d.t.f,down to fuck
ilysmydek,I Love You So Much You Don't Even Know
ysoab,You son of a bitch
ykn,you know nothing
milf,Mom i'd like to fuck
ibbl,I'll be back later
wwyt,What were you thinking
iwaa,It was an accident
llc,laughing like crazy
ror,raughing out roud
llf,laugh like fuck
nop,normal operating procedure
idgara,I don't give a rat's ass
hwik,how would i know
gmybs,give me your best shot
hax0rz,Hackers
ctnbos,can't talk now boss over shoulder
yur,your
yarly,yeah really
ilusfm,I love you so fucking much
ig2g,I got to go
puh-leaze,Please
gigo,garbage in garbage out
knackered,drunk
roflcopter,Rolling on the floor laughing
sotr,sex on the road
s.i.n.g.l.e,"Stay intoxicated nightly, get laid everyday."
ul,unlucky
foa,fuck off asshole
swf,single white female
alaytm,as long as you tell me
tpiwwp,this post is worthless without pictures
cyas,see you soon
wtfya,what the fuck you asshole
ymg2c,your mom goes to college
hax0r,hacker
nething,anything
ursdf,you are so damn fine
roofles,rolling on the floor laughing
brbf,Be Right Back Fucker
bykt,But you knew that
wths,want to have sex
anywaz,anyways
rotfpm,rolling on the floor pissing myself
cood,could
cskr,cock sucker
cyal,see you later
oic,"oh, I see"
w00t,woohoo
ihya,i hate you all
dil,Daughter in law
kwtsds,Kiss where the sun don't shine
din,didn't
icp,insane clown posse
dih,dick in hand
enof,enough
gud,good
w.o.w.,world of warcraft
wtfay,who the fuck are you
bicbw,but I could be wrong
wtfrudng,what the fuck are you doing
jhm,just hold me
jho,just hanging out
dic,do i care
ijeomk,I just ejaculated on my keybord
diy,do it yourself
cmptr,computer
dit,Details in Thread
yall,you all
dis,this
jtty,just to tell you
htf,how the fuck
i<3u,I love you
htc,hit the cell
rents,parents
ruk,are you ok?
phreaker,phone hacker
myofb,mind your own fucking business
omgwtfhax,"Oh My God What The Fuck, Hacks!"
a.i.m.,aol instant messanger
rentz,parents
plocks,please
hth,hope that helps
wassup,what's up?
trd,tired
haxer,Hacker
bakk,back
wtfyb,what the fuck you bitch
pml,pissing myself laughing
pls,please
obtw,"oh, by the way"
pmo,pissing me off
lmaorotf,laughing my ass off rolling on the floor
twvsoy,that was very stupid of you
lmbo,laughing my butt off
wbrb,Will be right back
ihusb,i hate you so bad
arvo,afternoon
hsd,high school dropout
osifgt,oh shit i forgot
awsic,and why should i care
t2b,time to blunt
ihusm,i hate you so much
addy,address
ufmf,you funny mother fucker
uta,up the ass
prvrt,pervert
dylos,do you like oral sex
otfcu,on the floor cracking up
hhyb,how have you been
gawd,god
ihusfm,i hate you so fucking much
rua,are you alone
pt33n,preteen
bh,bloody hell
oways,oh wow are you serious
rotflmaofaktd,Rolling on the floor laughing my ass off farted and killed the dog
j2lyk,just to let you know
plars,party like a rock star
w.o.w,World of Warcraft
watev,whatever
orly,oh really?
fmah,fuck my ass hole
wgasa,who gives a shit anyway
bk,back
hldon,hold on
fmao,freezing my ass of
gmao,Giggling my ass off
smho,Screaming My Head Off
kss,kiss
flames,angry comments
flamer,angry poster
brgds,best regards
fsho,for sure
bos,boss over shoulder
gsave,global struggle against violent extremists
jsing,just saying
kthnxbai,"Okay, thanks, bye"
boi,boy
db4l,drinking buddy for life
g2e,got to eat
bol,Barking Out Loud
ygtsr,you got that shit right
tgtbt,Too Good To Be True
bpot,big pair of tits
hbu,how about you
idfts,I don't fucking think so
cbf,cant be fucked
wwdhd,What would David Hasselhoff do
uve,You've
g2k,good to know
g2h,go to hell
noygdb,none of your god damn business
rolmfao,rolling over laughing my fucking ass off
latwttb,laughing all the way to the bank
iunno,I don't know
rur,are you ready
phuxor,fuck
wana,want to
prnoscrn,porn on screen
ians,I am Not Sure
fbk,facebook
oh noez,Oh no!
roflmgdmfao,roling on floor laughing my god damn mother fucking ass off
ayl,are you listening
ayk,are you kidding
shuddup,Shut Up
ayd,are you done
roflpmp,rolling on the floor laughing peeing my pants
ayc,awaiting your comments
ayb,All Your Base
f8,fate
msm,main stream media
perv,pervert
msh,Me so horny
msg,message
ayt,are you there
ayw,as you wish
ily4ev,i love you forever
pmpl,piss my pants laughing
ays,are you serious
wu2kilu,want you to know I love you
nstaafl,No Such Thing As a Free Lunch
w/out,without
wfyb,whatever floats your boat
ooc,out of character
oob,out of buisness
oom,Out of mana
lmpo,laughing my panties off
qft,quoted for truth
zup,what's up?
yhtbt,You Had To Be There
tyclos,"turn your CAPS LOCK off, stupid"
oow,On our way
bndm3ovr,Bend me over
haxor,hacker
w8ing,waiting
w8t4me,wait for me
tok2ul8r,i'll talk to you later
acgaf,Absolutely couldn't give a Fuck
yer,you're
trani,transexual
ctfu,cracking the fuck up
ihysmrn,i hate you so much right now
ijgl,I just got laid
fmsh,Fuck me so hard
skillz,skills
n2b,not too bad
hngry,hungry
wanker,masturbater
ctfd,calm the fuck down
focl,Falling Off Chair Laughing.
whatev,whatever
cam,camera
roflao,rolling on the floor laughing my ass off
ctfo,chill the fuck out
cmitm,Call me in the morning
thr4,therefore
gu2i,get used to it
ibt,I'll be there
urtw,you are the worst
sux0rz,sucks
afaiaa,As Far As I Am Aware
b4u,before you
mpbis,most popular boy in school
iucmd,if you catch my drift
sbd,silent but deadly
smdvq,suck my dick quickly
idr,I don't remember
stfuppercut,shut the fuck up
bffa,best friends for always
hwmbo,he who must be obeyed
noobie,new person
yvw,you're very welcome
lawl'd,laughed out loud
chik,chick
skeet,ejaculate
q4u,question for you
qoty,quote of the year
crazn,crazy asian
ymgtc,Your Mom Goes To college
ih8usm,i hate you so much
p.o.b.,Parent Over Back
6flx,X-Rated movie (sex flick)
nips,nipples
?^,what's up?
lbnr,laughing but not really
pino,Filipino
prod,product
iuno,i dunno
glux,good luck
yaagf,you are a good friend
utfs,Use the fucking search
swmbo,she who must be obeyed
aqap,as quick as possible
oslt,or something like that
msmd,monkey see - monkey do
dywtmusw,do you want to meet up some where
ligas,like I give a shit
fps,First Person Shooter
j00r,your
nyc,New York City
pebkac,problem exists between keyboard and chair
srs,serious
nyf,not your fault
mpaw,my parents are watching
snf,so not fair
aoe,Age Of Empires
aoc,age of consent
143,I love you
lmfr,Lets Meet For Real
aon,all or nothing
snl,Saturday Night Live
imysfm,i miss you so fucking much
4tw,for the win
c&c,Command and Conquer
dats,that's
sry,sorry
trble,trouble
iiwii,it is what it is
str8,straight
aos,adult over shoulder
2l8,too late
xplaned,explained
mai,my
mah,my
w911,Wife in room
wuu22m,what you up to tomorrow
obvi,obviously
mao,my ass off
prob,problem
ojsu,"Oh, just shut up!"
wuny,wait until next year
dym,Do you mind
fckd,fucked
muzik,music
wtva,whatever
ny1,Anyone
bling-bling,jewelry
su,shut up
st,Stop That
sk,spawn kill
pmsfl,Pissed Myself Fucking Laughing
fubr,Fucked Up Beyond Recognition
sn,screen name
sm,social media
sgb,straight/gay/bisexual
fcku,fuck you
urtb,you are the best
neida,any idea
wlos,wife looking over Shoulder
sd,suck dick
cybr,cyber
tofy,Thinking of You
tty,Talk to You
hom,home
kys,kill yourself
w\e,whatever
wuwttb,What you want to talk about
nowin,knowing
ttr,time to run
tyfyt,Thank you for your time
wdywtta,what do you want to talk about
dgoai,don't go on about it
see through your eyes,stye
fragged,killed
wfhw,what's for homework
woft,Waste of fucking time
gwijd,guess what i just did
stfuah,shut the fuck up asshole
dillic,Do I look like I care
ttc,text the cell
4give,forgive
hmewrk,homework
no1,no one
cybl,call you back later
glln,Got Laid Last Night
gta,Grand Theft Auto
gtb,Go To Bed
avie,Avatar
dju,did you
jic,just in case
gtf,get the fuck
gtg,got to go
gth,go to hell
gtk,good to know
gtm,giggling to myself
gtn,getting
2mo,tomorrow
gtp,Got to pee
gtr,Got to run
gts,going to school
wanafuk,wanna fuck
l8ers,Later
thanx,thank you
cul8tr,see you later
ttylt,talk to you later today
ilotibinlirl,"I'm laughing on the internet, but I'm not laughing in real life"
tmbi,tell me about it
thanq,thank you
stufu,stupid fucker
iukwim,if you know what i mean
kky,kinky
gd&r,"grins, ducks, and runs"
urnc,you are not cool
aymf,are you my friend
twat,vagina
noc,naked on camera
iokiya,it's ok if you are
gfe2e,grinning from ear to ear
kkk,ku klux klan
cut3,cute
ywud,yo whats up dude
lolcity,the whole city laughs out loud
mlia,my life is amazing
wdf,Worth Dying For
rtfa,read the fucking article
kthz,ok thanks
wab,what a bitch
ytm,you tell me
p3n15,penis
namh,not at my house
zomgzorrz,oh my god
itzk,it's ok
terd,shit
rmso,Rock My socks off
smst,somebody missed snack time
dqmot,don't quote me on this
ussr,The Union of Soviet Socialist Republics
cuzz,Because
sdf^,shut da fuck up
hijack,start an off topic discussion
v4g1n4,vagina
em,them
twyl,Talk With You Later
btias,Be there in a second
errythin,everything
eg,evil grin
ef,Fuck
llol,literally laughing out loud
bizzle,BITCH
cless,clanless
lmkwut,let me know what you think
gtfh,go to fucking hell
ey,hey
rotfalol,roll on the floor and laugh out loud
ez,Easy
gtfo,get the fuck out
skhool,school
eq,Everquest
fu,fuck you
fyad,fuck you and die
dilligas,do i look like i give a shit
fsob,Fucking son of a bitch
bruva,brother
fsod,frosn screen of death
rtfu,Ready the fuck up
blu,blue
tifs,this is funny shit
oicic,oh i see i see
phux,Fuck
fyah,fuck you asshole
nmfp,not my fucking problem
piitb,put it in the butt
dwioyot,Deal With It On Your Own Time
wuwtab,what do you want to talk about
dilligaf,do I look like I give a fuck
blh,bored like hell
dilligad,do I look like I give a damn
4r3al,for real
motarded,more retarded
ilum,i love you more
blg,blog
bubi,bye
phun,fun
ohic,oh I see
ploms,parent looking over my shoulder
lgbtq,"Lesbien, Gay, Bisexual, Transgender and Queer."
bbim,Be Back In Minute
lmp,lick my pussy
gotc,get on the computer
lma,leave me alone
lms,leave me some
wts,want to sell
shizit,shit
imnsho,in my not so humble opinion
pbkc,Problem between keyboard & chair
ajax,Asynchronous Javascript and XML
lmk,let me know
lml,love my life
lmo,Leave Me One
gis,Google Image Search
lmb,lick my balls
usuk,You Suck
lmd,Lick My Dick
ftlog,for the love of god
lmg,let me guess
gafi,get away from it
gd4u,Good For You
gafl,get a fucking life
dunna,i don't know
bovered,bothered
dunno,I don't know
a&f,always and forever
wussup,What is up?
byeas,good-bye
tbt,throwback thursday
rtfmm,read the fucking manual moron
biotch,bitch
chillax,chill and relax
nuff,enough
y!a,yahoo answers
yuo,you
what^,what's up?
yua,you ugly ass
iawtc,I agree with this comment
lafs,love at first sight
roflmfaopmp,rolling on flor laughing my fucking ass of peeing my pants
xbf,ex-boyfriend
301ing,referring traffic to another site
rmr,remember
oohm,out of his/her mind
witwu,who is there with you
rlbf,Real Life Boy Friend
wtgp,Want to go Private
tigger,tiger
sho'nuff,sure enough
phuck,fuck
xd,extreme droll
iyd,In Your Dreams
hmwrk,Homework
rino,republican in name only
wutevr,what ever
imya,i miss you already
but6,buttsex
was^,What's Up
mflfs,married female looking for sex
acct,account
iwfusb,i wanna fuck you so bad
ihac,I have a customer
wtharud,what the heck are you doing
rawks,rocks
*g*,grin
w/o,with out
iai,i am interested
iah,i am horny
yim,yahoo instant messenger
ttus,talk to you soon
iag,it's all good
bitd,back in the day
fmr,fuck me runnig
ukr,You know right
fmq,fuck me quick
fmn,Fuck me now
fml,fuck my life
2,too
bitz,neighborhood
fmh,Fuck me hard
fmi,for my information
sukz,sucks
thru,through
floabt,for lack of a better term
twys,Talk With You Soon
fmb,fuck me bitch
iap,I Am Pissed
hud,Heads Up Display
thar,there
yust,why you say that
wuwtb,what do you want to talk about
dbafwtt,Don't Be A Fool Wrap The Tool
imy2,i miss you to
instakill,instant kill
hun,honey
eyez,eyes
smto,Sticking My Tongue Out
vfm,value for money
smbt,Suck my big toe
waw,what a whore
2ge4,Together
dutma,don't you text me again
tna,tits and ass
slt,something like that
bobw,Best of Both Worlds
lolbs,laugh out loud but seriously
gim,google instant messanger
becuz,because
wyw,What You Want
m3,me
lmao,laughing my ass off
serp,search engine results page
gotta,got to
p911,parent emergency (parent near)
nn2r,no need to respond
zoot,woohoo
ymfp,Your Most Favorite Person
bsxc,be sexy
orgy,orgasm
tcial,The cake is a lie
wthwt,what the hell was that?
hfwt,have fun with that
havnt,haven't
azhol,asshole
ni994,nigga
j/p,just playing
prd,period
j/s,just saying
j/t,just talking
whut,what
aprece8,appreciate
anl,all night long
sab,slap a bitch
pro,professional
dass,dumb ass
wlc,welcome
gnos,get naked on screen
cuic,see you in class
fri.,Friday
prw,parents are watching
anw,anyways
mutha,mother
prp,please reply
wtfits,what the fuck is this shit
j/j,just joking
j/k,just kidding
gnoc,get naked on cam
hmoj,holy mother of jesus
iitywimwybmad,if I tell you what it means will you buy me a drink
gky,Go kill yourself
rotflmmfao,rolling on the floor laughing my mother fucking ass off
tiic,the idiots in control
wylym,Watch Your Language Young Man
wcw,webcam whore
wthauwf,what the hell are you waiting for
wtfiyp,what the fuck is your problem
imoo,in my own opinion
bizatch,Bitch
iistgtbtipi,If It Sounds Too Good To Be True It Probably Is
bmvp,be my valentine please
omfd,oh my fucking days
gwrk,good work
zot,Zero Tolerance
gwork,good work
6up,cops in area
tbtfh,to be totally freaking honest
lhs,lets have sex
omfl,oh my fucking internet connection is slow
wtfruo,what the fuck are you on?
omfj,oh my fucking jesus
iwg,it was good
whteva,what ever
iwc,In Which Case
whteve,whatever
asafp,as soon as fucking possible
hfn,Hell fucking no
iwk,I wouldn't know
fuxor,fucker
uya,up your ass
iwu,i want you
smtoay,Sticking my tongue out at you
iws,i want sex
pr0,professional
tisfu,that is so fucked up
tnx,thanks
wafl,what a fucking loser
3vi1,evil
fck,fuck
gdmfpos,god damn mother fucking piece of shit
iwy,i want you
apoc,apocalypse
lawl,lauging out loud with a southern drawl
dttml,don't talk to me loser
gnite,good night
kmag,kiss my ass goodbye
wgph2,Want to go play Halo 2?
lates,later
ilbcnu,i'll be seeing you
kmp,kill me please
wjwd,What Jesus Would Do
baggkyko,"be a good girl, keep your knickers on"
wtful,What the fuck you loser
t2ul8r,talk to you later
pyfco,put your freaking clothes on
pwb,pussy whipped bitch
n/a/s/l,"name, age, sex location"
steamloller,Laughing. Alot.
mgiwjsdchmw,my girlfriend is watching jeff so don't call her my wife
ib,I'm back
idgaff,I don't give a flying fuck
tkd,Tae Kwon Do
jizz,semen
wduc,what do you care
ttbomk,to the best o fmy knowledge
wadzup,What's up?
gsta,Gangster
tonite,tonight
ftw,For the win!
ilywamh,I love you with all my heart
tl;dr,too long; didn't read
wdut,what do you think?
dgms,Don't get me started
idgafs,I don't give a fucking shit
n199312,african american
noobz0r,newbie
youngin,young person
wayt,What are you thinking?
incrse,increase
gtgpp,got to go pee pee
woot,woohoo
bukket,bucket
iitywybmad,"if I tell you, will you buy me a drink?"
slos,someone looking over shoulder
somadn,sitting on my ass doing nothing
gdgd,good good
ntmk,Not to my knowledge
dick,penis
nes,Nintendo Entertainment System
wayh,why are you here
ntmu,nice to meet you
lmfbo,laugh my fucking butt off
ihtfp,I hate this fucking place
ntmy,nice to meet you
yasw,you are so weird
fym,fuck your mom
ino,I know
ygm,You Got Mail
oyid,oh yes i did
fmuta,fuck me up the ass
fubb,fucked up beyond belief
p00p,poop
2mw,tomorrow
chswmrn,come have sex with me right now
dyt,Don't you think
fubh,fucked up beyond hope
gey,gay
dyw,don't you worry
911sc,emergency let's stop chatting
fuhget,forget
fmutp,fuck me up the pussy
2ma,Tomorrow
ijaf,it's just a fact
icydn,in case you didn't know
dyk,did you know
ttyitm,talk to you in the morning
s'up,what is up
b4n,bye for now
wbbs,will be back soon
dya,Do you
blnt,Better Luck Next time
lolngs,laghing out loud never gonna stop
g2g4aw,got to go for a while
bubar,bushed up beyond all recognition
gfadh,go fuck a dead horse
pmfji,Pardon me for jumping in
broseph,brother
atst,At the same time
mfkr,motherfucker
tbfu,too bad for you
n2br,not to be rude
icbi,i can't believe it
roger,affirmative
nntr,no need to reply
pima,Pain in my ass
yaafm,You Are A Fucking Moron
omgyg2bk,oh my god you got to be kidding
wayd,what are you doing
uw,you're welcome
bmha,bite my hairy ass
hmfic,head mother fucker in charge
ttyab,Talk to you after breakfast
dbag,douchebag
laff,laugh
wthwut,what the hell were you thinking
dbab,don't be a bitch
wud,would
wwhw,when where how why
fucktard,fucking retard
ttyal,Talk to you after lunch
ttyas,talk to you at school
hbii,how big is it
wysiayg,what you see is all you get
lnk,Link
rme,rolling my eyes
nvrmnd,never mind
itt,in this thread
dtrt,do the right thing
tfln,thanx for last night
wayn,Where Are You Now
gmabj,give me a blowjob
gagp,go and get pissed
sleepin,sleeping
dmba*,dumbass
kool,cool
o&o,over and out
p0wn,make to look bad
wsidi,Why Should I Do It
tmk,to my knowledge
gagf,go and get fucked
bleme,blog meme
4fs,for fuck's sake
ygtbfkm,you've got to be fucking kidding me
wttp,want to trade pictures?
ytf,why the fuck
ui,User Interface
ytd,year to date
vry,very
jtc,Join the club
utw,used to work
yk,you kidding
ima,I am a
aslop,Age Sex Location Orientation Picture
idkyb,i don't know why but
clm,Cool Like Me
mfg,merge from current
comp,Computer
ple's,please
jw,just wondering
jp,just playing
gtgbb,got to go bye bye
js,just saying
tuh,to
jm,Just Messing
ywia,You're welcome in advance
etmda,Explain it to my dumb ass
gnst,goodnight sleep tight
jk,just kidding
xroads,crossroads
jf,just fooling
1nce,once
jb,jailbait
byes,bye bye
jfk,Just fucking kidding
jfj,jump for joy
jfi,just forget it
uty,it's up to you
jfo,just fuck off
jfn,just for now
jfl,just for laughs
faggit,faggot
whyb,where have you been
jfg,just for giggles
jff,just for fun
gws,get well soon
jfr,Just for reference
tmai,tell me about it
m'kay,okay
jfu,just for you
j/w,just wondering
lolaw,laugh out loud at work
m8t's,friends
kthnxbye,"Okay, thanks, bye"
jj,just joking
4e&e,forever and ever
wdidn,what do i do now
pov,point of view
imm,instant message me
oww,"Oops, wrong window"
hve,have
pos,Parent Over Shoulder
poq,Piss Off Quick
cmeo,crying my eyes out
ph33r,fear
pol,parent over looking
w012d,word
lf2m,looking for 2 more
poi,point of interest
totpd,top of the page dance
buwu,breaking up with you
iw2fu,i want to fuck you
poc,Piece of crap
0noe,Oh No
hrud,how are you doing
awsome,awesome
id10t,idiot
jking,joking
rowyco,rock out with your cock out
roffle,rolling on the floor laughing
pssy,pussy
sez,says
kwim,Know What I Mean
imr,in my room
wowzers,wow
lmaorof,Laughing my Ass off Rolling on the floor
snes,Super Nintendo Entertainment System
bf4l,best friends for life
boomm,bored out of my mind
secks,sex
zomg,Oh my God
cgad,couldn't give a damn
n,and
cgaf,couldn't give a fuck
bmf,be my friend
tjb,thats just boring
urssb,you are so sexy baby
raoflmao,rolling around on floor laughing my ass off
psos,parent standing over sholder
myaly,miss you and love you
fapping,masterbating
bml,bless my life
imy,I miss you
lmbfwao,laughing my big fat white ass off
bttyl,be talking to you later
p.o.s.,parent over shoulder
rflmao,rolling on the floor laughing my ass off
6y,sexy
utube,youtube
betcha,bet you
n2p,need to pee
idrts,I don't really think so
g2gb2wn,got to go back to work now
tgws,that goes without saying
ftfy,Fixed that for you
hdu,how dare you
latn,laugh at the newbs
kwit,quit
trnsltr,translator
idntk,i dont need to know
pwner,owner
ti2o,that is too obious
witwwyt,what in the world were you thinking
bf4e,best friends for ever
gwm,gay white male
wats^,what's up?
msibo,my side is busting open
ftfa,From The Fucking Article
lol@u,Laugh out loud at you
eil,explode into laughter
ive,i have
cigs,cigarettes
cylbd,catch ya later baby doll
ctrn,can't talk right now
biaf,Back In A Few
ctrl,control
nethin,anything
kiled,killed
bewt,boot
ntty,nice talking to you
vbeg,very big evil grin
rwb,Rich White Bitch
bros,brothers
wwcnd,What would Chuck Norris do
tchbo,Topic creater has been owned
wiwhu,wish I was holding you
stfuyb,shut the fuck up you bitch
dafuq,What the fuck
sxy,sexy
myob,mind your own business
mngmt,management
avvie,avatar
bewb,boob
y,why
ehlp,help
hxc,hardcore
gfam,Go Fuck A Monkey
wnt,want
pas,parent at side
stfub,shut the fuck up bitch
stfua,shut the fuck up already
gfak,go fly a kite
gfad,go fuck a duck
stfun,Shut the fuck up nigger
sssd,Same Shit Same Day
y'all,you all
ykwya,you know who you are
wwudtm,what would you do to me
w33d,weed
bowt,about
pae,Pimpin aint easy
pag,Parents Are Gone
pah,parents at home
paw,parents are watching
wtt,want to trade
tmmrw,tomorrow
sfwuz,safe for work until zoomed
gfas,go fuck a sheep
defs,definetly
iwsn,i want sex now
foad,fuck off and die
m&d,mom and dad
for sheeze,for sure
wtfs,what the fucking shit?
rotflmao,rolling on the floor laughing my ass off
dbeyr,don't believe everything you read
lmvo,laugh my vagina off
dyth,Damn You To Hell
foah,fuck off asshole
lmtd,limited
nk,no kidding
dfw/m,Don't Fuck with Me
wtfm,"what the fuck, mate?"
cptn,captain
fimh,forever in my heart
nah,no
imnshmfo,In My Not So Humble Mother Fucking Opinion
cr,Can't remember
idn,i don't know
wtfe,What The Fuck Ever
uctaodnt,you can't teach an old dog new tricks
wtfigo,what the fuck is going on
ftmfw,for the mother fucking win
ttyotp,talk to you on the phone
b-cuz,because
biwm,bisexual white male
prncpl,principal
afaicr,As Far As I Can Remember
afaics,as far as I can see
afaict,as far as I can tell
roflmaopmp,"rolling on the floor, laughing my ass off, pissing my pants"
roflmho,Rolling on the floor laughing my head off
idrfk,I don't really fucking know
ccl,Couldn't Care Less
wtmfh,what the mother fucking hell
uttm,you talking to me?
wdya,why do you ask
sqtm,snickering quietly to myself
hubby,husband
swmt,Stop Wasting My Time
mlod,mega laugh out loud of doom
gdr,"grinning, ducking, running"
idke,I don't know ethier
ypmf,you pissed me off
ishii,i see how it is
iwhi,I would hit it
t.t.y.l,Talk To You Later
bnol,be nice or leave
idkh,I don't know how
mlc,mid life crisis
igahp,I've got a huge penis
idkw,I don't know why
idkt,I don't know that
ihtp,I Have To Poop
miwnlf,mom I would not like to fuck.
whenevs,whenever
ps2,Play Station 2
bzns,buisness
irtf,I'll return the favor
wypsu,will you please shut up
waygow,who are you going out with
pachs,parents are coming home soon
idky,I don't know you
til,until
wygwm,will you go with me
tif2m,this is fucking 2 much
fttp,for the time being
lmaowtntpm,laughing my ass off whilst trying not to piss myself
lolarotf,laughing out loud and rolling on the floor
ikwym,i know what you mean
ikwyl,I know where you live
vb,visual basic
blog,web log
ttms,talking to myself
ded,Dead
4,for
pow,prisoner of war
pebcak,Problem Exists Between Chair and Keyboard
beatch,bitch
tddup,till death do us part
tuff,tough
ymislidi,you make it sound like i did it
omgykkyb,oh my god you killed kenny you bastards
psn,playstation netwok
aml,All My Love
rplbk,reply back
ynm,"yes, no, maybe"
ama,ask me anything
mor,more
psa,Public Service Announcement
gonna,going to
amf,adios motherfucker
awol,absent without leave
moh,Medal Of Honor
mol,more or less
diacf,die in a car fire
ams,Ask me something
twis,that's what I said
deets,details
mof,matter of fact
pst,please send tell
l8ta,later
p-nis,penis
iwfy,I want to fuck you
hoopty,broke down automobile
wbp,Welcome Back Partner
poo,poop
gjt,good job team
omgz,oh my God
2maro,tomorrow
stby,sucks to be you
gjp,good job partner
idrgaf,I don't really give a fuck
wdye,What do you expect
gtfuotb,get the fuck up out this bitch
gimme,give me
xover,crossover
wbb,will be back
omgd,Oh my gosh dude
jgiyn,Just google it you noob
omgf,oh my god...Fuck!
tolol,thinking of laughing out loud
scurred,scared
crzy,crazy
np4np,naked pic for naked pic
weve,what ever
gnrn,get naked right now
pmp,pissing my pants
glbt,"Gay, lesbian, bisexual, transgenderd"
ihnfc,I have no fucking clue
tvm,thanks very much
wdus,What Did You Say
udek,you don't even know
ezi,easy
s/b,should be
cyl8er,see you later
mthrfkr,mother fucker
og,original gangster
brbigtp,"be right back, i got to pee."
aoys,angel on your shoulder
avgn,Angry Video Game Nerd
xing,crossing
kmb,kiss my butt
kma,kiss my ass
huggle,hug and cuddle
ddr,dance dance revolution
kml,Killing Myself Laughing
h.o,hold on
m/f,male or female
txting,texting
ig5oi,I got 5 on it
d1ck,dick
afair,as far as I recall
ddl,direct download
wthdydt,why the hell did you do that
dymm,do you miss me
ddg,Drop Dead Gorgeous
ddf,Drug and Disease Free
mwah,kiss
ftl,For The Lose
n64,Nintendo 64
l8tr,later
aykm,are you kidding me
asap,as soon as possible
lmfao,laughing my fucking ass off
habt,how about this
3y3 y4m,I am
h4xrz,hackers
lmclao,laughing my cute little ass off
nmf,not my fault
ntigaf,not that i give a fuck
nme,enemy
irhtgttbr,I really have to go to the bathroom
wtfayta,What the Fuck are you talking about?
roglmfao,rolling on ground laughing my fucking ass off
OMGWTFBBQ,"oh my God, what the fuck"
?u@,Where are you?
fmita,fuck me in the ass
bsmfh,Bastard System Manager From Hell
nmh,not much here
iiok,is it okay
acc,account
ntbn,no text-back needed
y2k,year 2000
ok,okay
abreev,abbreviation
nafta,North American Free Trade Agreement
b8rez,Batteries
akpcep,Alexander King Project Cultural Engineering Project
?up,what's up?
ilysmih,i love you so much it hurts
totes,totally
dnrtfa,did not read the fucking article
slng,slang
poed,pissed off
tnlnsl,Took nothing left nothing signed log
idby,I Don't Believe You
bbf,best boy friend
ilysfmb,i love you so fucking much baby
imcdo,in my conceited dogmatic opinion
os,operating system
h8tr,hater
op,operator
gngbng,gang bang
dsided,decided
gtgn,got to go now
dnimb,dancing naked in my bra
"nb,p","nothing bad, parents"
shrn,so hot right now
gtgb,got to go bye
wat's^,Whats Up
t#3,the
contrib,contribution
shiet,shit
s2bu,Sucks to be you
xcpt,except
wygowm,Will you go out with me
coiwta,come on i wont tell anyone
fmbo,fuck my brains out
gtgp,got to go pee
1dering,wondering
ijpms,I just pissed myself
fmbb,Fuck Me Baby
less than 3,love
chswm,come have sex with me
sitb,sex in the but
yrms,You Rock My Socks
code 9,Parents are watching
code 8,parents are watching
mngr,manager
tsff,thats so fuckin funny
lof,Laughing on floor
i<3 u,i love you
sthing,something
crunk,combination of crazy and drunk
wateva,whatever
loi,laughing on the inside
wtfwt,what the fuck was that
lol,laughing out loud
tyred,tired
a$$,ass
gokid,got observers - keep it decent
wdtm,what does that mean
ictrn,I can't talk right now
heh,haha
biznatch,bitch
2m4u,too much for you
bleve,believe
wsibt,when should i be there
svn,seven
ilysvm,i love you so very much
witw,what in the world
lee7,elite
kotor,Knights of the old republic
lmaool,laughing my ass off out loud
jus,just
simcl,sitting in my chair laughing
sked,schedule
juz,just
fumfer,fuck you mother fucker
wazzup,what's up
gork,God only really knows
wazz,what's
yag,you are gay
yayo,cocaine
urcrzy,you are crazy
jtyltk,just thought you'd like to know
skewl,school
wduw,what do you want
sbrd,so bored
hhiadb,Holy Hole in a Donut Batman
whatcha,what are you
na4w,not appropriate for work
wbagnfarb,would be a good name for a rock band
wtfigoh,what the fuck is going on here
jsyn,just so you know
cihswu,can i have sex with you
dawg,Friend
fgssu,For Gods sake shut up
nigysob,now I've got you son of a bitch
gfym,go fuck your mom
waz^,what's up?
tbss,too bad so sad
twajs,"That was a joke, son."
iwmu,i will miss you
stfd,sit the fuck down
cbb,can't be bothered
bbiam,be back in a minute
cba,can't be arsed
deez,these
gona,Gonna
brbmf,be right back mother fucker
af,assface
ai,Artificial Intelligence
bbiaf,be back in a few
sorg,Straight or Gay
cbi,can't believe it
h2sys,hope to see you soon
bbiab,be back in a bit
tl8r,talk later
dndp,Do not double post
bma,best mates always
ohy,oh hell yeah
omgwtf,"on my God, what the fuck"
tafn,That's all for now
fibijar,"fuck it buddy, I'm just a reserve"
otl,out to lunch
cyal8r,see you later
bbias,be back in a second
gtgmmiloms,got to go my mum is looking over my shoulder
lgo,life goes on
gmab,give me a break
igt,I Got This
igs,I guess so
whever,whatever
xbl,xbox live
btdtgtts,"Been there, done that, got the T-shirt"
